n_label,structure,atlas
2,Left-Cerebral-White-Matter,segmentation
3,Left-Cerebral-Cortex,segmentation
4,Left-Lateral-Ventricle,segmentation
5,Left-Inf-Lat-Vent,segmentation
7,Left-Cerebellum-White-Matter,segmentation
8,Left-Cerebellum-Cortex,segmentation
10,Left-Thalamus,segmentation
11,Left-Caudate,segmentation
12,Left-Putamen,segmentation
13,Left-Pallidum,segmentation
14,3rd-Ventricle,segmentation
15,4th-Ventricle,segmentation
16,Brain-Stem,segmentation
17,Left-Hippocampus,segmentation
18,Left-Amygdala,segmentation
24,CSF,segmentation
26,Left-Accumbens-area,segmentation
28,Left-VentralDC,segmentation
30,Left-vessel,segmentation
31,Left-choroid-plexus,segmentation
41,Right-Cerebral-White-Matter,segmentation
42,Right-Cerebral-Cortex,segmentation
43,Right-Lateral-Ventricle,segmentation
44,Right-Inf-Lat-Vent,segmentation
46,Right-Cerebellum-White-Matter,segmentation
47,Right-Cerebellum-Cortex,segmentation
49,Right-Thalamus,segmentation
50,Right-Caudate,segmentation
51,Right-Putamen,segmentation
52,Right-Pallidum,segmentation
53,Right-Hippocampus,segmentation
54,Right-Amygdala,segmentation
58,Right-Accumbens-area,segmentation
60,Right-VentralDC,segmentation
62,Right-vessel,segmentation
63,Right-choroid-plexus,segmentation
72,5th-Ventricle,segmentation
77,WM-hypointensities,segmentation
78,Left-WM-hypointensities,segmentation
79,Right-WM-hypointensities,segmentation
80,non-WM-hypointensities,segmentation
81,Left-non-WM-hypointensities,segmentation
82,Right-non-WM-hypointensities,segmentation
85,Optic-Chiasm,segmentation
251,CC_Posterior,segmentation
252,CC_Mid_Posterior,segmentation
253,CC_Central,segmentation
254,CC_Mid_Anterior,segmentation
255,CC_Anterior,segmentation
1000,ctx-lh-unknown,parcellation_DK_atlas
1001,ctx-lh-bankssts,parcellation_DK_atlas
1002,ctx-lh-caudalanteriorcingulate,parcellation_DK_atlas
1003,ctx-lh-caudalmiddlefrontal,parcellation_DK_atlas
1004,ctx-lh-corpuscallosum,parcellation_DK_atlas
1005,ctx-lh-cuneus,parcellation_DK_atlas
1006,ctx-lh-entorhinal,parcellation_DK_atlas
1007,ctx-lh-fusiform,parcellation_DK_atlas
1008,ctx-lh-inferiorparietal,parcellation_DK_atlas
1009,ctx-lh-inferiortemporal,parcellation_DK_atlas
1010,ctx-lh-isthmuscingulate,parcellation_DK_atlas
1011,ctx-lh-lateraloccipital,parcellation_DK_atlas
1012,ctx-lh-lateralorbitofrontal,parcellation_DK_atlas
1013,ctx-lh-lingual,parcellation_DK_atlas
1014,ctx-lh-medialorbitofrontal,parcellation_DK_atlas
1015,ctx-lh-middletemporal,parcellation_DK_atlas
