n_label,structure
1,Rostral-Middle-Frontal_rh
2,Vermal-lobules-VI-VII_rh
3,Inferior-temporal_rh
4,Accumbens-Area_rh
5,Inferior-Lateral-Ventricle_rh
6,Pericalcarine_rh
7,Lateral-Orbitofrontal_rh
8,Rostral-Anterior-Cingulate_rh
9,Superior-Parietal_rh
10,Inferior-Parietal_rh
11,Brainstem_rh
12,Lingual_rh
13,Postcentral_rh
14,Transverse-Temporal_rh
15,Medial-Orbitofrontal_rh
16,Paracentral_rh
17,Optic-Chiasm_rh
18,Parahippocampal_rh
19,Amygdala_rh
20,Vermal-lobules-VIII-X_rh
21,Putamen_rh
22,Pars-Triangularis_rh
23,Insula_rh
24,Fusiform_rh
25,Basal-Forebrain_rh
26,Ventral-Diencephalon_rh
27,Pallidum_rh
28,Middle-Temporal_rh
29,Third-Ventricle_rh
30,Caudal-Anterior-Cingulate_rh
31,Precuneus_rh
32,Pars-Opercularis_rh
33,Isthmus-Cingulate_rh
34,Lateral-Occipital_rh
35,Precentral_rh
36,Entorhinal_rh
37,Fourth-Ventricle_rh
38,Superior-Frontal_rh
39,Cerebellum-White-Matter_rh
40,Thalamus_rh
41,Lateral-Ventricle_rh
42,Caudal-Middle-Frontal_rh
43,Cuneus_rh
44,Pars-Orbitalis_rh
45,Superior-Temporal_rh
46,Cerebellum-Gray-Matter_rh
47,Posterior-Cingulate_rh
48,Hippocampus_rh
49,Caudate_rh
50,Vermal-lobules-I-V_rh
51,Supramarginal_rh
52,Rostral-Middle-Frontal_lh
53,Vermal-lobules-VI-VII_lh
54,Inferior-temporal_lh
55,Accumbens-Area_lh
56,Inferior-Lateral-Ventricle_lh
57,Pericalcarine_lh
58,Lateral-Orbitofrontal_lh
59,Rostral-Anterior-Cingulate_lh
60,Superior-Parietal_lh
61,Inferior-Parietal_lh
62,Brainstem_lh
63,Lingual_lh
64,Postcentral_lh
65,Transverse-Temporal_lh
66,Medial-Orbitofrontal_lh
67,Paracentral_lh
68,Optic-Chiasm_lh
69,Parahippocampal_lh
70,Amygdala_lh
71,Vermal-lobules-VIII-X_lh
72,Putamen_lh
73,Pars-Triangularis_lh
74,Insula_lh
75,Fusiform_lh
76,Basal-Forebrain_lh
77,Ventral-Diencephalon_lh
78,Pallidum_lh
79,Middle-Temporal_lh
80,Third-Ventricle_lh
81,Caudal-Anterior-Cingulate_lh
82,Precuneus_lh
83,Pars-Opercularis_lh
84,Isthmus-Cingulate_lh
85,Lateral-Occipital_lh
86,Precentral_lh
87,Entorhinal_lh
88,Fourth-Ventricle_lh
89,Superior-Frontal_lh
90,Cerebellum-White-Matter_lh
91,Thalamus_lh
92,Lateral-Ventricle_lh
93,Caudal-Middle-Frontal_lh
94,Cuneus_lh
95,Pars-Orbitalis_lh
96,Superior-Temporal_lh
97,Cerebellum-Gray-Matter_lh
98,Posterior-Cingulate_lh
99,Hippocampus_lh
100,Caudate_lh
101,Vermal-lobules-I-V_lh
102,Supramarginal_lh
