n_label,structure
1,Lateral-Ventricle
2,Inf-Lat-Vent
3,Cerebellum-White-Matter
4,Cerebellum-Cortex
5,Thalamus-Proper
6,Caudate
7,Putamen
8,Pallidum
9,3rd-Ventricle
10,4th-Ventricle
11,Brain-Stem
12,Hippocampus
13,Amygdala
14,CSF
15,Accumbens-area
16,VentralDC
17,Vessel 
18,Choroid-plexus
19,5th-Ventricle 
20,WM-hypointensities
21,Optic-Chiasm
22,CC_Posterior
23,CC_Mid_Posterior
24,CC_Central
25,CC_Mid_Anterior
26,CC_Anterior
27,Ctx-unknown
28,Ctx-bankssts
29,Ctx-caudalanteriorcingulate
30,Ctx-caudalmiddlefrontal
31,Ctx-corpuscallosum
32,Ctx-cuneus
33,Ctx-entorhinal
34,Ctx-fusiform
35,Ctx-inferiorparietal
36,Ctx-inferiortemporal
37,Ctx-isthmuscingulate
38,Ctx-lateraloccipital
39,Ctx-lateralorbitofrontal
40,Ctx-lingual
41,Ctx-medialorbitofrontal
42,Ctx-middletemporal
43,Ctx-parahippocampal
44,Ctx-paracentral
45,Ctx-parsopercularis
46,Ctx-parsorbitalis
47,Ctx-parstriangularis
48,Ctx-pericalcarine
49,Ctx-postcentral
50,Ctx-posteriorcingulate
51,Ctx-precentral
52,Ctx-precuneus
53,Ctx-rostralanteriorcingulate
54,Ctx-rostralmiddlefrontal
55,Ctx-superiorfrontal
56,Ctx-superiorparietal
57,Ctx-superiortemporal
58,Ctx-supramarginal
59,Ctx-frontalpole
60,Ctx-temporalpole
61,Ctx-transversetemporal
62,Ctx-insula
63,Wm-bankssts
64,Wm-caudalanteriorcingulate
65,Wm-caudalmiddlefrontal
66,Wm-corpuscallosum
67,Wm-cuneus
68,Wm-entorhinal
69,Wm-fusiform
70,Wm-inferiorparietal
71,Wm-inferiortemporal
72,Wm-isthmuscingulate
73,Wm-lateraloccipital
74,Wm-lateralorbitofrontal
75,Wm-lingual
76,Wm-medialorbitofrontal
77,Wm-middletemporal
78,Wm-parahippocampal
79,Wm-paracentral
80,Wm-parsopercularis
81,Wm-parsorbitalis
82,Wm-parstriangularis
83,Wm-pericalcarine
84,Wm-postcentral
85,Wm-posteriorcingulate
86,Wm-precentral
87,Wm-precuneus
88,Wm-rostralanteriorcingulate
89,Wm-rostralmiddlefrontal
90,Wm-superiorfrontal
91,Wm-superiorparietal
92,Wm-superiortemporal
93,Wm-supramarginal
94,Wm-frontalpole
95,Wm-temporalpole
96,Wm-transversetemporal
97,Wm-insula
98,Wm-Unsegmented
